,Unnamed: 0,Duration_Average ,Duration_Std,Duration_Var,Src Pt_Average,Src Pt_Std,Src Pt_Var,Dst Pt_Average,Dst Pt_Std,Dst Pt_Var,Packets_Average,Packets_Std,Packets_Var,Bytes_Average,Bytes_Std,Bytes_Var,class
2852,0:23:46,30.92166667,[41.38281056],[1712.53700989],23666.41667,[24904.55094776],[6.20236658e+08],23666.41667,[24904.55094776],[6.20236658e+08],14.75,[9.54048392],[91.02083333],2657.333333,[2080.17344362],[4327121.55555556],suspicious
2854,0:23:47,14.41917073,[30.05023492],[903.01661858],19087.7561,[22177.66877474],[4.91848992e+08],19088.02683,[22177.43580044],[4.91838659e+08],12.36585366,[7.46620385],[55.74419988],1987.365854,[1387.95625776],[1926422.57346817],suspicious
2856,0:23:48,17.71425,[26.49240233],[701.84738119],19934.6,[23179.03477801],[5.37267653e+08],19934.6,[23179.03477801],[5.37267653e+08],12.15,[9.41156204],[88.5775],1899.025,[1864.51235565],[3476406.324375],suspicious
2858,0:23:49,22.215,[30.30095131],[918.14765],20902.46667,[22757.87211455],[5.17920743e+08],20902.46667,[22757.87211455],[5.17920743e+08],13.7,[8.50548842],[72.34333333],2205.633333,[1705.88103304],[2910030.09888889],suspicious
2860,0:23:50,7.693090909,[8.11365257],[65.83135808],15206.81818,[19066.73374954],[3.63540336e+08],15206.81818,[19066.73374954],[3.63540336e+08],12,[10.06343516],[101.27272727],1832.363636,[1668.66676627],[2784448.77685951],suspicious
2862,0:23:51,11.15061538,[6.40324551],[41.00155301],16990.65385,[21520.71163025],[4.63141029e+08],16990.65385,[21520.71163025],[4.63141029e+08],17.69230769,[7.46153846],[55.67455621],2487.807692,[1176.94660421],[1385203.3091716],suspicious
2864,0:23:52,7.616352941,[6.43119432],[41.36026035],19265.29412,[22234.94128291],[4.94392614e+08],18005.03824,[21967.35724543],[4.82564784e+08],12.05882353,[8.82490185],[77.87889273],1826.823529,[1457.87914997],[2125411.61591696],suspicious
2866,0:23:53,18.11036364,[33.41398401],[1116.49432769],21536.5,[23242.01081848],[5.40191067e+08],21536.5,[23242.01081848],[5.40191067e+08],8.727272727,[8.00103299],[64.01652893],1533.727273,[1786.24535579],[3190672.47107438],suspicious
2868,0:23:54,20.28261538,[39.16761292],[1534.10190193],13354.15385,[18838.69009551],[3.54896245e+08],13353.35769,[18839.00593262],[3.54908145e+08],6.461538462,[7.56119023],[57.17159763],1106.846154,[1894.41382638],[3588803.74556213],suspicious
2870,0:23:55,20.70377778,[36.3471364],[1321.11432462],22320.05556,[24155.61567782],[5.83493769e+08],20643.03611,[23531.81716259],[5.53746419e+08],11.66666667,[10.03604614],[100.72222222],1894.861111,[2005.17865861],[4020741.4529321],suspicious
2872,0:23:56,5.761777778,[5.11186719],[26.13118617],20771.5,[21193.88578039],[4.49180794e+08],20771.5,[21193.88578039],[4.49180794e+08],10.5,[7.63216876],[58.25],1711.388889,[1366.50544329],[1867337.12654321],suspicious
2874,0:23:57,22.7400625,[37.51589104],[1407.44208018],23001,[24634.46465574],[6.06856849e+08],23001,[24634.46465574],[6.06856849e+08],13.9375,[7.54543529],[56.93359375],2471.71875,[1998.97947767],[3995918.95214844],suspicious
2876,0:23:58,18.05066667,[29.30759034],[858.93485156],19948.64286,[22271.95415424],[4.96039942e+08],19948.64286,[22271.95415424],[4.96039942e+08],14.66666667,[7.87299987],[61.98412698],2177.47619,[1378.71657431],[1900859.39229025],suspicious
2878,0:23:59,19.23209091,[33.74610436],[1138.79955936],19687.90909,[23052.97020285],[5.31439435e+08],17738.15,[22657.32508242],[5.1335438e+08],12,[10.57870932],[111.90909091],1567.545455,[1609.93962979],[2591905.61157025],suspicious
2880,0:24:00,27.59975,[54.18467052],[2935.97851919],20663.20833,[23346.75393029],[5.45070919e+08],20663.20833,[23346.75393029],[5.45070919e+08],14.33333333,[9.98192811],[99.63888889],2052.166667,[1490.4689605],[2221497.72222222],suspicious
2882,0:24:01,11.69633333,[9.73743265],[94.81759456],19415.41667,[21937.26342877],[4.81243527e+08],19415.41667,[21937.26342877],[4.81243527e+08],15,[10.07472084],[101.5],2141.458333,[1494.49093839],[2233503.16493056],suspicious
2884,0:24:02,8.230818182,[8.09211759],[65.48236706],25483.86364,[26240.60871019],[6.88569545e+08],25483.86364,[26240.60871019],[6.88569545e+08],13.86363636,[10.17258104],[103.48140496],2009.818182,[1529.61393336],[2339718.78512397],suspicious
2886,0:24:03,6.228222222,[7.67841044],[58.95798684],16895.55556,[21308.97877323],[4.54072576e+08],16895.55556,[21308.97877323],[4.54072576e+08],9.5,[9.07530226],[82.36111111],1350.611111,[1374.92481164],[1890418.23765432],suspicious
2888,0:24:04,16.1934375,[30.63012945],[938.20483],22345.1875,[24415.80792545],[5.96131677e+08],21201.41563,[24577.01700062],[6.04029765e+08],10.78125,[8.83789559],[78.10839844],1832.59375,[1904.58125088],[3627429.74121094],suspicious
2890,0:24:05,21.28005556,[33.7075103],[1136.19625083],21427.30556,[23012.57527819],[5.29578621e+08],21427.30556,[23012.57527819],[5.29578621e+08],15.88888889,[7.20639291],[51.93209877],2484.527778,[1445.09433537],[2088297.63811728],suspicious
2892,0:24:06,5.454333333,[7.25116696],[52.57942222],17914.33333,[20468.31444391],[4.18951896e+08],13699.42619,[20632.60004092],[4.25704184e+08],8.952380952,[9.91139888],[98.23582766],1208.166667,[1472.31558659],[2167713.18650794],suspicious
2894,0:24:07,12.86933333,[28.31442102],[801.70643756],17580.63889,[20929.61764814],[4.38048895e+08],17571.35,[20935.08127135],[4.38277628e+08],11.08333333,[8.38773907],[70.35416667],1745.527778,[1414.48352345],[2000763.63811728],suspicious
2896,0:24:08,15.29130769,[31.12781371],[968.94078637],18511.73077,[22033.05631678],[4.85455571e+08],18511.73077,[22033.05631678],[4.85455571e+08],11.69230769,[9.06713945],[82.21301775],1821.846154,[1659.87508085],[2755185.28402367],suspicious
2898,0:24:09,12.0405,[7.68291674],[59.02720958],17246.70833,[23122.60184949],[5.34654716e+08],17246.70833,[23122.60184949],[5.34654716e+08],15.08333333,[9.05960203],[82.07638889],2254.958333,[1382.75619926],[1912014.70659722],suspicious
2900,0:24:10,9.146153846,[8.41916541],[70.88234613],17926.42308,[24186.57422903],[5.84990373e+08],17926.24231,[24186.64379583],[5.84993738e+08],14.11538462,[9.80708897],[96.17899408],1943.923077,[1397.74218826],[1953683.22485207],suspicious
2902,0:24:11,8.022470588,[10.18030486],[103.63860707],15951.35294,[20004.66074059],[4.00186451e+08],13468.82059,[18837.1297484],[3.54837457e+08],7.441176471,[8.09935065],[65.59948097],1086.617647,[1314.78759221],[1728666.41262976],suspicious
2904,0:24:12,15.573375,[13.06816259],[170.77687348],21205.125,[22085.56643737],[4.87772245e+08],21205.125,[22085.56643737],[4.87772245e+08],16.375,[7.9912061],[63.859375],2389.8125,[1182.66067718],[1398686.27734375],suspicious
2906,0:24:13,33.78164063,[58.4092746],[3411.64335926],32231.25781,[24484.47532597],[5.99489532e+08],32231.25781,[24484.47532597],[5.99489532e+08],5.6484375,[1.6133711],[2.60296631],478.546875,[203.33757567],[41346.16967773],normal
2908,0:24:14,23.95115789,[37.2129762],[1384.80559792],23271.89474,[25635.39702688],[6.57173581e+08],23271.89474,[25635.39702688],[6.57173581e+08],12.84210526,[8.18704469],[67.02770083],2230.473684,[1763.57899763],[3110210.88088643],suspicious
2910,0:24:15,23.1114375,[37.95571987],[1440.63667075],21390.1875,[24285.11157767],[5.89766644e+08],21371.44688,[24297.44766232],[5.90365963e+08],12.53125,[9.31727017],[86.81152344],2067,[1718.70841768],[2953958.625],suspicious
2912,0:24:16,7.867433333,[6.01940925],[36.23328771],25253.76667,[25605.27777586],[6.5563025e+08],23210.17667,[24796.84746089],[6.14883644e+08],12.33333333,[8.08840047],[65.42222222],1940.566667,[1404.89094911],[1973718.57888889],suspicious
2914,0:24:17,13.943375,[7.85386433],[61.68318498],22698.375,[24525.15124794],[6.01483044e+08],22698.375,[24525.15124794],[6.01483044e+08],15.625,[6.6602834],[44.359375],2326.6875,[1048.68588712],[1099742.08984375],suspicious
2916,0:24:18,23.00754545,[36.67885186],[1345.33817407],14988.45455,[18475.82633587],[3.41356159e+08],14982.37727,[18479.02668083],[3.41474427e+08],9.863636364,[8.66705074],[75.1177686],1706.181818,[1775.53699013],[3152531.60330578],suspicious
2918,0:24:19,29.00466667,[43.1122235],[1858.66381522],20586.75,[22761.96775005],[5.18107176e+08],20586.75,[22761.96775005],[5.18107176e+08],13.83333333,[9.99861101],[99.97222222],1798.166667,[1455.91699817],[2119694.30555556],suspicious
2920,0:24:20,29.0762,[46.62729292],[2174.10444516],22576,[23197.58528382],[5.38127963e+08],22576,[23197.58528382],[5.38127963e+08],8.7,[7.12811335],[50.81],1842.15,[2556.70004645],[6536715.1275],suspicious
2922,0:24:21,20.21829412,[36.91833223],[1362.9632548],20377.5,[22724.98884132],[5.16425118e+08],18772.06765,[22168.9935499],[4.91464275e+08],10.85294118,[9.60126325],[92.18425606],1627,[1595.05646221],[2544205.11764706],suspicious
2924,0:24:22,15.39733333,[27.8260098],[774.28682156],18973.5,[22961.85247136],[5.27246669e+08],18967.11944,[22965.58089667],[5.27417906e+08],11.61111111,[8.53840272],[72.90432099],1901.027778,[1491.07042993],[2223291.02700617],suspicious
2926,0:24:23,41.22653846,[50.06623963],[2506.62835102],21807.23077,[24052.34624459],[5.7851536e+08],21807.23077,[24052.34624459],[5.7851536e+08],11.80769231,[8.14304437],[66.3091716],2213.846154,[2204.91415658],[4861646.43786982],suspicious
2928,0:24:24,18.74154545,[26.8178488],[719.19701434],17645.68182,[21843.22139992],[4.77126321e+08],17645.68182,[21843.22139992],[4.77126321e+08],15.65909091,[7.35138571],[54.0428719],2460.159091,[1349.85002438],[1822095.08832645],suspicious
2930,0:24:25,9.9151,[7.4310116],[55.21993339],16822.5,[21885.55160603],[4.78977369e+08],16821.3075,[21886.17052816],[4.7900446e+08],12.95,[9.40731099],[88.4975],2004.15,[1530.10232583],[2341213.1275],suspicious
2932,0:24:26,29.141,[43.76761581],[1915.60419337],18357.84211,[20754.80085937],[4.30761759e+08],18357.84211,[20754.80085937],[4.30761759e+08],13.68421053,[9.58920792],[91.95290859],1990.394737,[1536.87318484],[2361979.18628809],suspicious
2934,0:24:27,44.0476,[55.70713693],[3103.28510484],18782.35,[22621.0181563],[5.11710462e+08],18782.35,[22621.0181563],[5.11710462e+08],9.35,[6.12596931],[37.5275],1738.3,[2054.92085249],[4222699.71],suspicious
2936,0:24:28,17.35525,[28.02267767],[785.27046381],19842,[21283.77523491],[4.52999088e+08],19842,[21283.77523491],[4.52999088e+08],13.59375,[10.05565567],[101.11621094],1912.59375,[1563.87093576],[2445692.30371094],suspicious
2938,0:24:29,19.2792,[24.99511108],[624.75557776],20701.25,[24208.27943261],[5.86040793e+08],21585.365,[25049.07291022],[6.27456054e+08],10.45,[9.38869],[88.1475],1753.05,[1888.2735362],[3565576.9475],suspicious
2940,0:24:30,17.38745455,[33.90040464],[1149.23743498],11625.95455,[15544.18061959],[2.41621551e+08],13898.74091,[17684.98660268],[3.12758751e+08],7.409090909,[6.96523243],[48.51446281],1128.954545,[1334.44402714],[1780740.86157025],suspicious
2942,0:24:31,28.9555,[48.37350438],[2339.99592614],20736.30556,[22541.54533525],[5.08121266e+08],19826.39722,[22693.48249352],[5.14994148e+08],10.05555556,[8.60860178],[74.10802469],1670.416667,[1726.0064757],[2979098.35416667],suspicious
2944,0:24:32,29.77046154,[41.00680809],[1681.55830979],18447.30769,[23331.59563565],[5.44363355e+08],18447.30769,[23331.59563565],[5.44363355e+08],16,[8.12877131],[66.07692308],2376.923077,[1268.46145216],[1608994.4556213],suspicious
2946,0:24:33,13.36270588,[14.17158259],[200.83375303],23239.76471,[24787.15130046],[6.1440287e+08],23239.76471,[24787.15130046],[6.1440287e+08],14.02941176,[8.59714485],[73.91089965],2079.411765,[1361.67870266],[1854168.88927336],suspicious
2948,0:24:34,18.61907692,[30.96724916],[958.97052038],20302.03846,[22536.95825405],[5.07914487e+08],20302.03846,[22536.95825405],[5.07914487e+08],13.34615385,[7.28508649],[53.07248521],2170.192308,[1548.36939091],[2397447.77071006],suspicious
2950,0:24:35,10.9208,[7.27502683],[52.92601536],17358.75,[21177.36121634],[4.48480628e+08],17358.91,[21177.23007794],[4.48475074e+08],15.7,[7.81728853],[61.11],2302,[1432.65962461],[2052513.6],suspicious
2952,0:24:36,24.44993333,[38.19234272],[1458.6550422],15340.6,[18814.38736287],[3.53981172e+08],15340.6,[18814.38736287],[3.53981172e+08],13.33333333,[8.43142271],[71.08888889],2328.066667,[1953.19495414],[3814970.52888889],suspicious
2954,0:24:37,14.05641176,[27.87918903],[777.24918083],19972.41176,[24112.4252484],[5.81409051e+08],19972.41176,[24112.4252484],[5.81409051e+08],10.67647059,[8.58425573],[73.68944637],1580.911765,[1324.54849949],[1754428.72750865],suspicious
2956,0:24:38,4.381545455,[6.01870045],[36.22475516],20515.22727,[24237.48080581],[5.87455476e+08],20515.22727,[24237.48080581],[5.87455476e+08],6.409090909,[7.12013209],[50.69628099],1074.954545,[1308.15534514],[1711270.40702479],suspicious
2958,0:24:39,10.77771429,[6.65349179],[44.26895306],14224.42857,[19410.6469853],[3.76773216e+08],14224.42857,[19410.6469853],[3.76773216e+08],16.64285714,[7.84316939],[61.51530612],2486.571429,[1217.23044621],[1481649.95918367],suspicious
2960,0:24:40,14.4562,[29.11364098],[847.60409109],16522.83333,[20338.52977001],[4.13655793e+08],16522.83333,[20338.52977001],[4.13655793e+08],10.36666667,[8.38841794],[70.36555556],1807.533333,[1827.77943114],[3340777.64888889],suspicious
2962,0:24:41,5.527473684,[6.00132652],[36.01592004],17845.81579,[20320.52116491],[4.1292358e+08],17845.81579,[20320.52116491],[4.1292358e+08],9.526315789,[8.61985725],[74.30193906],1606.894737,[1804.49383178],[3256197.98891967],suspicious
2964,0:24:42,15.63983333,[32.56321941],[1060.36325831],13830.79167,[20037.28673619],[4.0149286e+08],13828.97083,[20038.04665242],[4.01523314e+08],9.5,[8.73689495],[76.33333333],1543,[1536.46046158],[2360710.75],suspicious
2966,0:24:43,14.45813333,[30.20817558],[912.53387158],20374.13333,[21688.53933415],[4.70392738e+08],20374.13333,[21688.53933415],[4.70392738e+08],11.6,[8.58137518],[73.64],1841.5,[1461.88772369],[2137115.71666667],suspicious
2968,0:24:44,12.801,[26.75271221],[715.7076107],18797.275,[22971.14507811],[5.27673506e+08],17759.165,[23117.28050609],[5.34408658e+08],10.325,[12.20734922],[149.019375],1508.5,[2114.27108007],[4470142.2],suspicious
2970,0:24:45,22.609125,[29.85529205],[891.33846311],21815.5,[24521.13541672],[6.01286082e+08],20065.41563,[23872.7774858],[5.69909505e+08],15.75,[9.14808723],[83.6875],2290.625,[1455.60068679],[2118773.359375],suspicious
2972,0:24:46,10.98915789,[9.1366331],[83.47806434],20991.31579,[23969.90810107],[5.74556494e+08],20991.31579,[23969.90810107],[5.74556494e+08],15.55263158,[9.18436133],[84.35249307],2246.684211,[1370.00722444],[1876919.79501385],suspicious
2974,0:24:47,24.59046667,[41.40837383],[1714.65342318],19983.06667,[22633.98563213],[5.12297306e+08],18354.94333,[22248.80689445],[4.95009408e+08],12.63333333,[9.68326162],[93.76555556],1670.466667,[1440.4265973],[2074828.78222222],suspicious
2976,0:24:48,26.60135714,[39.18853086],[1535.74095123],15963.5,[19804.16352599],[3.92204893e+08],15963.5,[19804.16352599],[3.92204893e+08],14.5,[9.19433055],[84.53571429],2546.357143,[1916.01864393],[3671127.44387755],suspicious
2978,0:24:49,30.18614286,[47.93009504],[2297.29401084],22195.96429,[24615.95383585],[6.05945183e+08],22195.96429,[24615.95383585],[6.05945183e+08],9.821428571,[7.00027332],[49.00382653],1979.892857,[2432.83500614],[5918686.16709184],suspicious
2980,0:24:50,14.666125,[28.6024032],[818.09746886],22018.84375,[24808.20036816],[6.15446806e+08],22018.84375,[24808.20036816],[6.15446806e+08],12,[9.93415824],[98.6875],1725,[1632.78536939],[2665988.0625],suspicious
2982,0:24:51,12.55366667,[10.32893673],[106.686934],15743.72222,[20372.40586296],[4.15034921e+08],12621.40556,[18085.74784085],[3.27094275e+08],13.44444444,[10.9707805],[120.35802469],1792.555556,[1572.74043285],[2473512.4691358],suspicious
2984,0:24:52,9.449902439,[9.76974906],[95.44799662],21252.4878,[25644.60260725],[6.57645643e+08],21252.7561,[25644.38031985],[6.57634242e+08],13.02439024,[6.94047094],[48.17013682],2004.121951,[1237.80238375],[1532154.74122546],suspicious
2986,0:24:53,5.323466667,[5.64288856],[31.84219132],20616.2,[23504.28857804],[5.52451582e+08],20616.46667,[23504.05472074],[5.52440588e+08],9.9,[7.84580567],[61.55666667],1582,[1438.84604226],[2070277.93333333],suspicious
2988,0:24:54,8.298083333,[6.54174449],[42.79442091],25037.29167,[25494.5522669],[6.49972195e+08],25037.29167,[25494.5522669],[6.49972195e+08],12.04166667,[8.92785513],[79.70659722],1892.541667,[1508.65022396],[2276025.49826389],suspicious
2990,0:24:55,11.50206667,[8.34958651],[69.71559486],18930.86667,[23342.07092031],[5.44852275e+08],18930.86667,[23342.07092031],[5.44852275e+08],17.4,[9.98198377],[99.64],2557.666667,[1551.6509344],[2407620.62222222],suspicious
2992,0:24:56,7.601461538,[6.41034438],[41.09251502],22757.38462,[24947.55472537],[6.22380487e+08],22757.38462,[24947.55472537],[6.22380487e+08],11.46153846,[8.75842789],[76.71005917],1664.230769,[1399.47306863],[1958524.86982249],suspicious
2994,0:24:57,6.66825,[8.29396527],[68.78985994],15460.1875,[21520.47035446],[4.63130644e+08],15247.83125,[21605.03707708],[4.66777627e+08],10,[8.73927915],[76.375],1713.0625,[1425.27889678],[2031419.93359375],suspicious
2996,0:24:58,19.9621,[34.1673572],[1167.40829809],18306.7,[21638.47124475],[4.68223438e+08],18306.7,[21638.47124475],[4.68223438e+08],12.25,[7.25172393],[52.5875],2244.3,[1984.58046196],[3938559.61],suspicious
2998,0:24:59,10.34835294,[10.2517457],[105.09828999],19196.20588,[24546.49611365],[6.02530471e+08],17616.33235,[23870.72052163],[5.69811298e+08],11,[9.38710003],[88.11764706],1796.823529,[1645.12328289],[2706430.61591695],suspicious
3000,0:25:00,5.974588235,[7.08278137],[50.16579189],13933.67647,[18945.56538321],[3.58934448e+08],13933.67647,[18945.56538321],[3.58934448e+08],9.382352941,[9.5548408],[91.2949827],1429.205882,[1613.12728391],[2602179.63408304],suspicious
3002,0:25:01,15.334,[28.78153248],[828.37661213],23007.83333,[24532.49294179],[6.0184321e+08],23007.83333,[24532.49294179],[6.0184321e+08],11.7,[7.76809715],[60.34333333],2076.833333,[1679.21872872],[2819775.53888889],suspicious
3004,0:25:02,16.4885,[32.49046797],[1055.63050875],16865.58333,[20200.59597907],[4.08064078e+08],16865.58333,[20200.59597907],[4.08064078e+08],9.916666667,[9.13289233],[83.40972222],1670.583333,[2055.54552606],[4225267.40972222],suspicious
3006,0:25:03,15.8111875,[28.62635606],[819.46826115],22656.03125,[23972.36716185],[5.74674387e+08],22656.03125,[23972.36716185],[5.74674387e+08],13.34375,[9.92348658],[98.47558594],1934.53125,[1579.38708413],[2494463.56152344],suspicious
3008,0:25:04,8.446083333,[8.07206015],[65.15815508],20652.20833,[23316.98354022],[5.43681721e+08],20652.20833,[23316.98354022],[5.43681721e+08],12.75,[9.58840446],[91.9375],1748.083333,[1394.24641882],[1943923.07638889],suspicious
3010,0:25:05,26.81846154,[34.55457007],[1194.01831271],17019.61538,[22280.80255611],[4.96434163e+08],17019.61538,[22280.80255611],[4.96434163e+08],16.03846154,[9.31285616],[86.72928994],2461.230769,[1575.71200775],[2482868.33136095],suspicious
3012,0:25:06,7.789583333,[8.24150463],[67.92239858],17931.29167,[24833.13415996],[6.16684552e+08],16141.30417,[24500.93545499],[6.00295838e+08],10.54166667,[10.03319144],[100.66493056],1604.333333,[1604.82851282],[2575474.55555556],suspicious
3014,0:25:07,17.61533333,[20.92386153],[437.80798139],17397.83333,[20235.34464262],[4.09469173e+08],17397.83333,[20235.34464262],[4.09469173e+08],14.41666667,[10.95032978],[119.90972222],2128.916667,[1734.99956572],[3010223.49305556],suspicious
3016,0:25:08,40.34157143,[52.00626422],[2704.65151853],17959.07143,[23937.75602762],[5.73016164e+08],17959.07143,[23937.75602762],[5.73016164e+08],8.714285714,[5.28378343],[27.91836735],1956.357143,[2283.76270368],[5215572.08673469],suspicious
3018,0:25:09,7.600181818,[7.30549407],[53.3702436],21305.90909,[24572.3981068],[6.03802749e+08],21101.15,[24687.82229966],[6.0948857e+08],10.77272727,[9.74181156],[94.90289256],1567.954545,[1402.86264076],[1968023.58884298],suspicious
3020,0:25:10,17.7302,[17.55582762],[308.20708336],16391.75,[21759.7869449],[4.73488328e+08],16391.75,[21759.7869449],[4.73488328e+08],15.9,[7.17565328],[51.49],2571,[1331.90217358],[1773963.4],suspicious
3022,0:25:11,15.24384211,[20.0465808],[401.86540161],19025.92105,[24030.17978817],[5.77449541e+08],19025.77105,[24030.24864038],[5.7745285e+08],14.28947368,[8.2139416],[67.46883657],2268.5,[1677.90862542],[2815377.35526316],suspicious
3024,0:25:12,23.0462,[32.64202575],[1065.50184509],16495.36667,[21091.93478794],[4.44869713e+08],15015.95333,[20636.30616213],[4.25857132e+08],15,[8.04155872],[64.66666667],2640.733333,[1967.28964031],[3870228.52888889],suspicious
3026,0:25:13,25.439,[41.78851513],[1746.27999692],19192.80769,[21475.02224772],[4.61176581e+08],19192.80769,[21475.02224772],[4.61176581e+08],12.53846154,[7.65220315],[58.55621302],2051.538462,[1892.20730347],[3580448.47928994],suspicious
3028,0:25:14,27.32992857,[38.77447045],[1503.45955849],18012.78571,[21573.00663587],[4.65394615e+08],18012.78571,[21573.00663587],[4.65394615e+08],14.21428571,[9.64497331],[93.0255102],2352.678571,[2079.79011739],[4325526.93239796],suspicious
3030,0:25:15,21.22372222,[39.19119296],[1535.94960542],21354,[23959.1047099],[5.74038698e+08],21354,[23959.1047099],[5.74038698e+08],10.22222222,[7.35266811],[54.0617284],1964.361111,[1694.79109091],[2872316.84182099],suspicious
3032,0:25:16,30.70572222,[41.6923694],[1738.25366609],19904.44444,[23734.25799866],[5.63315003e+08],19904.44444,[23734.25799866],[5.63315003e+08],11.86111111,[9.12308664],[83.23070988],1803.888889,[1549.46117476],[2400829.93209877],suspicious
3034,0:25:17,23.02042857,[40.37018763],[1629.75204953],18023.10714,[22454.16019255],[5.0418931e+08],18023.10714,[22454.16019255],[5.0418931e+08],9.678571429,[7.99130586],[63.86096939],1571.928571,[1625.79747308],[2643217.42346939],suspicious
3036,0:25:18,4.84,[5.65202536],[31.94539067],20543.83333,[23760.08295732],[5.64541542e+08],20208.67917,[23987.70424615],[5.75409955e+08],9.041666667,[8.91851616],[79.53993056],1216.083333,[1334.97274993],[1782152.24305556],suspicious
3038,0:25:19,24.05936364,[32.94440465],[1085.3337975],18836.81818,[24453.64496281],[5.97980752e+08],18815.37727,[24465.47146654],[5.98559294e+08],11.45454545,[8.04943404],[64.79338843],2094.045455,[2010.74957704],[4043113.86157025],suspicious
3040,0:25:20,15.15208333,[10.30235463],[106.13851091],16423.04167,[19906.96213949],[3.96287142e+08],16423.04167,[19906.96213949],[3.96287142e+08],17.5,[8.72257607],[76.08333333],2675.583333,[1455.80810654],[2119377.24305556],suspicious
3042,0:25:21,38.43282353,[44.36179447],[1967.96880838],20610.85294,[22407.9602428],[5.02116682e+08],20610.85294,[22407.9602428],[5.02116682e+08],12.55882353,[7.9859847],[63.77595156],2118.558824,[1852.3308082],[3431129.42301038],suspicious
3044,0:25:22,15.0024,[29.83016016],[889.83845544],20756.53333,[22983.84115378],[5.28256954e+08],18997.31,[22330.46715425],[4.98649763e+08],11.26666667,[8.48109008],[71.92888889],1674.733333,[1481.62885441],[2195224.06222222],suspicious
3046,0:25:23,13.8623,[27.21343055],[740.57080241],18022.65,[23381.65869175],[5.46701963e+08],18015.9825,[23385.29705888],[5.46872119e+08],8,[7.40607858],[54.85],1440.825,[1928.96700189],[3720913.694375],suspicious
3048,0:25:24,18.70681818,[19.43035375],[377.53864669],21408.18182,[24173.48765343],[5.84357505e+08],21408.18182,[24173.48765343],[5.84357505e+08],13.95454545,[9.56545524],[91.49793388],2184.954545,[1808.65466017],[3271231.67975207],suspicious
3050,0:25:25,16.14761111,[26.62297818],[708.78296702],23056.83333,[25998.19861869],[6.75906331e+08],21118.30278,[25036.6854491],[6.26835618e+08],14.13888889,[10.71901938],[114.89737654],2201.944444,[1770.90367616],[3136099.83024691],suspicious
3052,0:25:26,27.57145455,[45.40761101],[2061.85113788],18026.81818,[22184.48591745],[4.92151415e+08],18026.81818,[22184.48591745],[4.92151415e+08],11.18181818,[8.52609025],[72.69421488],1859.772727,[1966.84985635],[3868498.35743802],suspicious
3054,0:25:27,21.78336364,[32.38479715],[1048.77508623],15198.77273,[19573.73082599],[3.83130938e+08],15198.77273,[19573.73082599],[3.83130938e+08],13.45454545,[9.40370948],[88.42975207],2017.409091,[1734.27618276],[3007713.87809917],suspicious
3056,0:25:28,13.5650625,[28.9284246],[836.85374968],20866.8125,[24154.20207546],[5.83425478e+08],20866.8125,[24154.20207546],[5.83425478e+08],8.9375,[8.44814144],[71.37109375],1354.03125,[1421.01562457],[2019285.40527344],suspicious
3058,0:25:29,9.263230769,[8.0882007],[65.41899049],19408.19231,[22494.52047127],[5.06003451e+08],19408.19231,[22494.52047127],[5.06003451e+08],13.30769231,[9.41263157],[88.59763314],1983.423077,[1467.63879367],[2153963.62869822],suspicious
3060,0:25:30,9.569666667,[7.37637832],[54.41095706],20389.375,[24072.02976107],[5.79462617e+08],20389.375,[24072.02976107],[5.79462617e+08],14.33333333,[8.28485901],[68.63888889],2041.333333,[1257.26053607],[1580704.05555556],suspicious
3062,0:25:31,14.14836364,[7.1478375],[51.09158096],17109.31818,[21725.87386962],[4.72013595e+08],17109.31818,[21725.87386962],[4.72013595e+08],17.81818182,[8.00929212],[64.14876033],2610.318182,[1289.13242096],[1661862.39876033],suspicious
3064,0:25:32,24.5041875,[37.39246707],[1398.1965939],20379.03125,[24892.28398204],[6.19625802e+08],20379.28125,[24892.07934795],[6.19615614e+08],14.875,[9.50904175],[90.421875],2298.75,[1740.05213643],[3027781.4375],suspicious
3066,0:25:33,13.61090909,[24.25066483],[588.09474472],18223.36364,[21758.36088422],[4.73426268e+08],18223.36364,[21758.36088422],[4.73426268e+08],12.45454545,[8.32972374],[69.38429752],1915.204545,[1404.60516257],[1972915.66270661],suspicious
3068,0:25:34,5.15775,[6.48571249],[42.06446652],17845.83333,[21664.13915065],[4.69334925e+08],16264.4375,[21521.53796059],[4.63176596e+08],9.416666667,[9.73788421],[94.82638889],1315.166667,[1443.36408743],[2083299.88888889],suspicious
3070,0:25:35,21.2021,[33.88149548],[1147.95573629],16385.3,[19651.88806731],[3.86196705e+08],16385.3,[19651.88806731],[3.86196705e+08],13.7,[9.33862945],[87.21],1981.65,[1404.11122334],[1971528.3275],suspicious
3072,0:25:36,10.42007143,[6.73043747],[45.29878849],17693.64286,[22682.74657282],[5.14506992e+08],17693.64286,[22682.74657282],[5.14506992e+08],15,[9.06720937],[82.21428571],2376.071429,[1520.82348296],[2312904.06632653],suspicious
3074,0:25:37,11.52054545,[9.29995305],[86.48912679],19650.45455,[21905.44246763],[4.7984841e+08],19650.45455,[21905.44246763],[4.7984841e+08],16.04545455,[9.79553364],[95.95247934],2232.045455,[1427.99323519],[2039164.67975207],suspicious
